Année,Mois,Source_URL,PDF_Title,PDF_URL
2010,de Janvier,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-janvier-2010_a59.html,Note d’information relative à l’indice des prix à la consommation (ipc) du mois de janvier 2010 (version arabe),https://www.hcp.ma/attachment/2234285/
2010,de Janvier,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-janvier-2010_a59.html,Note d’information relative à l’indice des prix à la consommation (ipc) du mois de janvier 2010 (version française),https://www.hcp.ma/attachment/2234286/
2010,de Février,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-fevrier-2010_a56.html,Note d’information relative à l'Indice des Prix à la Consommation (IPC) du mois de février 2010 (version arabe),https://www.hcp.ma/attachment/2234276/
2010,de Février,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-fevrier-2010_a56.html,Note d’information relative à l'Indice des Prix à la Consommation (IPC) du mois de février 2010 (version française),https://www.hcp.ma/attachment/2234277/
2010,de Mars,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-mars-2010_a54.html,Note d’information relative à l'indice des prix à la consommation (IPC) du mois de mars 2010 (version française),https://www.hcp.ma/attachment/2234270/
2010,de Mars,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-mars-2010_a54.html,Note d’information relative à l'indice des prix à la consommation (IPC) du mois de mars 2010 (version arabe),https://www.hcp.ma/attachment/2234271/
2010,d'Avril,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-d-avril-2010_a52.html,Note d’information relative à l'indice des prix à la consommation (IPC) du mois d'avril 2010 (version arabe),https://www.hcp.ma/attachment/2234265/
2010,d'Avril,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-d-avril-2010_a52.html,Note d’information relative à l'indice des prix à la consommation (IPC) du mois d'avril 2010 (version française),https://www.hcp.ma/attachment/2234266/
2010,de Mai,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-mai-2010_a49.html,Note d'information relative à l'Indice des Prix à la Consommation (IPC) du mois de mai 2010 (version arabe),https://www.hcp.ma/attachment/2234256/
2010,de Mai,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-mai-2010_a49.html,Note d'information relative à l'Indice des Prix à la Consommation (IPC) du mois de mai 2010 (version française),https://www.hcp.ma/attachment/2234257/
2010,de Juillet,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-juillet-2010_a45.html,Note d'information relative à l'Indice des Prix à la Consommation (IPC) du mois de juillet 2010 (version arabe),https://www.hcp.ma/attachment/2234240/
